Party,Candidate,Last_Name,First_Name,State_Abbrv,Candidate_Votes,State,Total_Votes,Committee,Contributions,Election_Year,Assumed_Office
Democrat,Jack Reed,Reed,Jack,RI,223675,Rhode Island,316898,Armed Services,3960335,2014,1997
Democrat,Gary C. Peters,Peters,Gary,MI,1704936,Michigan,3121771,Homeland Security and Governmental Affairs,42543692,2019,2019
Democrat,Patrick J. Leahy,Leahy,Patrick,VT,192243,Vermont,320467,Appropriations,4770988,2016,1975
Democrat,Ron Wyden,Wyden,Ron,OR,1105119,Oregon,1952478,Finance,12628463,2016,1996
Democrat,Patty Murray,Murray,Patty,WA,1913979,Washington,3243317,"Health, Education, Labor and Pensions",13524088,2016,1993
Democrat,Debbie Stabenow,Stabenow,Debbie,MI,2214478,Michigan,4237271,"Agriculture, Nutrition and Forestry",17570218,2018,2001
Democrat,Sherrod Brown,Brown,Sherrod,OH,2355923,Ohio,4410898,"Banking, Housing and Urban Affairs",28659987,2018,2007
independent,Bernie Sanders,Sanders,Bernie,VT,183529,Vermont,272624,Budget,11795106,2018,2007
Democrat,Maria Cantwell,Cantwell,Maria,WA,1803364,Washington,3086168,"Commerce, Science and Transportation",11667705,2018,2001
Democrat,Joe Manchin,Manchin,Joe,WV,288808,West Virginia,582911,Energy and Natural Resources,9375411,2018,2019
Democrat,Thomas R Carper,Carper,Thomas,DE,217385,Delaware,362592,Environment and Public Works,4262961,2018,2001
Democrat,Robert Menendez,Menendez,Robert,NJ,1711654,New Jersey,3169310,Foreign Relations,12271086,2018,2006
Democrat,Dianne Feinstein,Feinstein,Dianne,CA,6019422,California,11113364,Judiciary,16092233,2018,1992
democratic-farmer-labor,Amy Klobuchar,Klobuchar,Amy,MN,1566174,Minnesota,5184235,Rules and Administration,10681536,2018,2007
Democrat,Ben Cardin,Cardin,Ben,MD,1491614,Maryland,2299889,Small Business and Entrepreneurship,5071964,2018,2007
Democrat,Jon Tester,Tester,Jon,MT,253876,Montana,504384,Veterans' Affairs,20944242,2018,2007
